Designator,Footprint,Quantity,Value,LCSC Part #
C1,1210,1,2.2u,
C10,0805,1,10u,
"C11, C12, C3",0603,3,100n,
"C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35",0805,23,180n,
C2,1210,1,1u,
"C36, C37",0603,2,"1u,0603",
"C38, C41, C42, C43, C44, C47",0603,6,"100n,0603",
"C39, C40, C45, C46",0603,4,"20p,0603",
C4,0805,1,1u,
C48,0603,1,"4.7u,0603",
"C5, C8",0805,2,0.1u,
"C6, C7",0603,2,0.68u,
C9,0603,1,22n,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D3, D4, D5, D6, D7, D8, D9",0603,22,LED,
D23,SOT-416,1,RCLAMP0502B,
D24,0603,1,GREEN_LED,
D25,SOT-143,1,PRTR5V0U2X,C12333
J2,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04_Pin,
J3,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,
J4,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,Screw_Terminal_01x02,
Q1,TO-252-2,1,NPN,C140579
"Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q2, Q20, Q21, Q22, Q23, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,22,Q_NMOS_GSD,
"Q24, Q25, Q26, Q27, Q28, Q29, Q30, Q31, Q32, Q33, Q34, Q35",TO-263-2,12,NMOS,
R1,0603,1,NTC10k,
"R10, R11, R12, R13, R14, R5, R6, R7, R8, R9",2512,10,10m,
"R100, R102, R104, R106, R108, R122, R124, R126, R128, R37, R39, R41, R43, R45, R47, R49, R68, R70, R72, R74, R76, R78, R98",0805,23,910,
"R101, R103, R105, R107, R109, R123, R125, R127, R129, R38, R40, R42, R44, R46, R48, R69, R71, R73, R75, R77, R79, R99",0805,22,1k,
"R110, R111, R112, R113, R19, R20, R21, R22, R23, R24, R50, R51, R52, R53, R54, R55, R80, R81, R82, R83, R84, R85",0603,22,4k7,
"R114, R115, R116, R117, R118, R119, R120, R121, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97",2512,44,36,
"R130, R131",0805,2,10M,
R132,0603,1,"1.2k,0603",
R133,0603,1,"390,0603",
R134,0603,1,"10k,0603",
R15,2512,1,100,
R16,0603,1,18k,
R17,0603,1,0.1,
R18,0603,1,R,
"R2, R3, R4",0805,3,100,
SW1,SW_100SP1T1B1M1QEH,1,SW_SPDT,
SW2,SW_SPST_PTS645,1,SW_Push,
SW3,SW_CuK_OS102011MA1QN1_SPDT_Angled,1,SW_SPDT,
"U2, U3",SOT-23,2,TL431DBZ,
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F072RBTx,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,"8M,SMD",
Y2,Crystal_SMD_Abracon_ABS25-4Pin_8.0x3.8mm,1,"32.768k,SMD",
